22:50:50.804 DEBUG [DefaultLocalSearchPhase]     LS step (215), time spent (84029), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1143), picked move ([2] Zomergem in Basiswimpelen basis {Basiswimpelen basis A om 10:24 [2097] -> Basiswimpelen basis A om 10:12 [2085]}).
22:50:50.888 DEBUG [DefaultLocalSearchPhase]     LS step (216), time spent (84113), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1118), picked move ([161] Lochristi Hijfte Meisjes in Kringdans  &  {Kringdans meisjes & gemengd om 08:30 [2479] -> Kringdans meisjes & gemengd om 08:36 [2485]}).
22:50:50.971 DEBUG [DefaultLocalSearchPhase]     LS step (217), time spent (84196), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1125), picked move ([130] Zele Centrum in Gilden vrije reeks {Gilden vrije reeks om 09:12 [2397]} <-> [133] Hamme in Gilden vrije reeks {Gilden vrije reeks om 09:30 [2415]}).
22:50:51.057 DEBUG [DefaultLocalSearchPhase]     LS step (218), time spent (84282), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1137), picked move ([[23] Nazareth in Basiswimpelen basis] {Basiswimpelen basis B om 11:00 [2164]} <-> [[24] Merchtem in Basiswimpelen basis] {Basiswimpelen basis B om 09:42 [2086]}).
22:50:51.144 DEBUG [DefaultLocalSearchPhase]     LS step (219), time spent (84369), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1145), picked move ([178] Zele Heikant in Parendans {Parendans om 10:48 [2648] -> Parendans om 11:00 [2660]}).
22:50:51.234 DEBUG [DefaultLocalSearchPhase]     LS step (220), time spent (84459), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1148), picked move ([70] Hamme in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 08:42 [2181] -> Bondsreeks meisjes & gemengd om 09:54 [2253]}).
22:50:51.321 DEBUG [DefaultLocalSearchPhase]     LS step (221), time spent (84546), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1157), picked move ([167] Zomergem in Kringdans  &  {Kringdans meisjes & gemengd om 11:00 [2629]} <-> [166] Hamme in Kringdans  &  {Kringdans meisjes & gemengd om 11:12 [2641]}).
22:50:51.413 DEBUG [DefaultLocalSearchPhase]     LS step (222), time spent (84638), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1136), picked move ([95] Merchtem in Brechts korpsvendelen {Brechts korpsvendelen C om 11:30 [2442] -> Brechts korpsvendelen C om 11:00 [2412]}).
22:50:51.501 DEBUG [DefaultLocalSearchPhase]     LS step (223), time spent (84726), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1143), picked move ([172] Zomergem in Parendans {Parendans om 08:24 [2504] -> Parendans om 11:24 [2684]}).
22:50:51.594 DEBUG [DefaultLocalSearchPhase]     LS step (224), time spent (84819), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1140), picked move ([[36] Stekene 1 in Basiswimpelen muziek] {Basiswimpelen muziek B om 09:30 [2136]} <-> [[37] Stekene 2 in Basiswimpelen muziek] {Basiswimpelen muziek B om 09:48 [2154]}).
